Year,coral AND (review[Publication Type]),microglia AND (review[Publication Type]),epstein-barr AND (review[Publication Type]),ncRNA AND (review[Publication Type]),eugenics AND (review[Publication Type]),artificial neural networks AND (review[Publication Type]),influenza AND (review[Publication Type]),junk dna AND (review[Publication Type]),vaccine AND (review[Publication Type]),Epidemiology AND (review[Publication Type]),machine learning AND (review[Publication Type]),genetic algorithm AND (review[Publication Type]),ribosome AND (review[Publication Type]),multiple sclerosis AND (review[Publication Type]),mouse AND (review[Publication Type]),zebra fish AND (review[Publication Type]),ribozyme AND (review[Publication Type]),antibiotic resistance AND (review[Publication Type]),vitamin d AND (review[Publication Type]),prion AND (review[Publication Type]),mass spectrometry AND (review[Publication Type]),neural networks AND (review[Publication Type]),sleep AND (review[Publication Type]),antibiotic AND (review[Publication Type]),stem cells AND (review[Publication Type]),Synthetic Biology AND (review[Publication Type]),miRNA AND (review[Publication Type]),archaea AND (review[Publication Type]),epigenetics AND (review[Publication Type]),PCR AND (review[Publication Type]),lithium AND (review[Publication Type]),rnase AND (review[Publication Type]),autoimmune AND (review[Publication Type]),perceptron AND (review[Publication Type]),lipid AND (review[Publication Type])
1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,1.537279016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,0,0,1.413287731,0,0,0,0,0,0,0,0,0,0,0,0,0,2.826575462,0,0,0,0,0,0,0,0,0,0,0
1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0.795582924,0,0,0,0,0,0,0,0,0,0,0,0,0,1.591165847,0,0,0,0,0,0,0,0,0,0,0.795582924
1963,0,0,0,0,0.70651406,0,14.83679525,0,26.14102021,47.336442,0,0,2.826056239,2.826056239,37.44524516,0,0,14.13028119,7.771654656,0,0.70651406,0,7.771654656,116.5748198,0,0,0,0,0,0,0,4.239084358,17.66285149,0,98.91196835
1964,0,0,0,0,1.850595275,0,11.10357165,0,46.88174696,58.6021837,0,0,6.168650916,3.70119055,46.26488187,0,0.616865092,17.88908766,9.869841466,0,0,0,14.18789711,134.47659,0.616865092,0,0,0,0,0,1.233730183,6.168650916,45.64801678,0,133.2428598
1965,0,0,0,0,1.131624957,0,1.697437435,0,17.54018683,56.01543536,0,0,3.394874871,3.394874871,50.92312306,0,0,6.789749741,1.697437435,0,0,0,13.57949948,64.50262254,0,0,0,0,0,0,0,2.263249914,22.06668666,0,63.93681006
1966,0,0,0,0,0,0,2.219940617,0,10.54471793,58.27344119,0,0,9.434747621,3.329910925,82.13780281,0,0,9.434747621,5.549851541,0,1.109970308,0,12.76465855,76.03296612,1.109970308,0,0,0.554985154,0.554985154,0,0.554985154,2.219940617,18.31451009,0,85.46771374
1967,0,0,0,0,2.603122706,0,4.16499633,0,19.26310802,98.39803829,0,0,14.05686261,2.603122706,116.6198972,0,0,20.30435711,9.371241742,1.041249082,0,0,14.57748715,98.39803829,2.603122706,0,0,0,0,0,1.041249082,6.247494494,21.86623073,0,129.1148862
1968,0,0,0,0,0,0,10.08853894,0,32.18724328,141.2395452,0,0,20.65748449,5.284472778,114.8171813,0,0,21.61829773,8.166912475,0,0.480406616,0,19.69667126,105.2090489,1.441219848,0,0,0,0,0,4.804066162,8.647319091,31.22643005,0,157.0929635
1969,0.464368969,0,0,0,0.928737938,0,8.823010411,0,32.9701968,182.9613738,0,0,19.5034967,9.28737938,175.5314703,0,0,21.36097257,12.53796216,1.393106907,1.857475876,0.464368969,26.46903123,129.5589424,1.393106907,0,0,0,0,0,8.823010411,7.429903504,48.29437278,0,184.3544807
1970,0,0,0.455734507,0,0.911469015,0,8.203221131,0,26.43260142,176.3692543,0,0,24.15392889,8.203221131,181.8380684,0,0,21.41952184,15.95070776,0.911469015,4.101610566,0,22.33099086,138.0875557,0.911469015,0.911469015,0,0,0.455734507,0,8.203221131,11.39336268,44.20624721,0,212.3722804
1971,0,0,0.447111214,0,2.682667287,0,12.519114,0,30.40356258,200.3058241,0,0,38.89867566,7.153779431,217.7431614,0,0,28.61511772,16.54311493,0.447111214,6.259557002,0,25.48533922,168.1138166,9.836446718,0.447111214,0,0.447111214,0,0,7.153779431,10.73066915,44.71112144,0,249.4880577
1972,0,0,0.877697273,0,3.071940457,0,9.215821371,0,38.17983139,187.3883679,0,0,34.6690423,13.1654591,202.3092215,0,0.438848637,34.23019366,19.30934002,1.755394547,7.899275461,0,21.5035832,142.1869583,3.510789094,0.438848637,0,1.755394547,0,0,9.654670008,12.28776183,46.95680413,0,290.9566461
1973,0,0,2.163322171,0,0.865328868,0,10.81661085,0,29.85384595,209.8422505,0,0,46.29509445,10.81661085,194.6989954,0,0,27.25785935,25.95986605,1.297993302,11.68193972,0,20.76789284,160.5185051,12.11460416,1.730657736,0,1.730657736,0.865328868,0,9.518617551,12.54726859,32.44983256,0,298.1057951
1974,0,0,3.827995406,0,0.425332823,0,8.506656459,0,49.76394028,203.3090894,0,0,36.57862277,11.90931904,238.1863808,0,0.425332823,22.54263962,37.0039556,1.701331292,11.90931904,0,21.69197397,170.1331292,15.31198163,0.850665646,0,0.850665646,0.425332823,0,8.931989282,9.357322105,48.48794181,0,309.2169623
1975,0.802593984,0,1.605187968,0.401296992,0.802593984,0,8.828533821,1.203890976,42.53748114,157.3084208,0,0,25.68300748,7.624642846,210.6809207,0,0,23.67652252,24.8804135,0,8.025939838,0.401296992,23.67652252,126.4085524,13.24280073,0.802593984,0,0.802593984,0.802593984,0,10.0324248,7.223345854,31.70246236,0,260.0404507
1976,0,0.392195313,2.745367193,0,0,0,7.843906265,0.392195313,44.3180704,131.7776253,0,0,25.49269536,5.098539072,223.1591332,0,0,14.51122659,21.17854692,2.745367193,6.275125012,0.392195313,21.96293754,118.4429846,10.19707814,1.960976566,0,1.568781253,1.17658594,0,8.628296892,8.236101579,42.35709383,0,242.3767036
1977,0,0,1.525599561,0,0.38139989,0,11.4419967,1.906999451,39.28418869,112.5129676,0,0,25.55379264,12.20479649,173.1555501,0,0.76279978,18.68859462,19.4513944,0,8.009397693,0,18.30719473,117.4711662,12.20479649,0.76279978,0,2.288399341,1.14419967,0,7.627997803,8.009397693,30.51199121,0,233.4167328
1978,0,0.366878233,3.301904098,0,0.366878233,0,9.538834061,1.467512932,35.95406685,130.9755292,0,0,19.07766812,12.47385993,188.2085336,0,0.366878233,16.87639872,14.67512932,0,6.970686429,0,18.71078989,104.5602964,17.61015519,1.100634699,0,1.834391166,2.201269399,0,11.00634699,6.970686429,33.75279745,0,245.8084162
1979,1.417926849,0,5.317225684,0.354481712,1.063445137,0,19.85097589,2.126890274,39.34747006,153.1360997,0,0,18.43304904,8.507561095,230.7675947,0,0,27.29509185,20.91442103,0.354481712,4.60826226,0,19.14201246,136.4754592,19.49649418,3.190335411,0,3.190335411,0.708963425,0,14.5337502,3.899298835,33.32128096,0,248.846162
1980,0,0,2.137848469,0.356308078,0,0,13.89601505,1.068924235,42.75696939,165.3269483,0,0,19.95325238,10.68924235,257.9670486,0,0,19.5969443,19.95325238,1.425232313,6.769853486,0.356308078,21.02217661,129.3398324,14.60863121,3.206772704,0,1.781540391,0.712616156,0,15.67755544,3.563080782,42.40066131,0,272.2193718
1981,0,0,4.583290732,0.705121651,0.705121651,0,13.7498722,2.820486604,33.1407176,172.4022437,0.352560826,0,22.21133201,10.22426394,226.34405,0,1.057682477,20.09596706,20.09596706,1.057682477,7.403777337,0,23.97413614,134.6782354,17.27548045,3.17304743,0,1.410243302,1.410243302,0,15.51267632,6.34609486,42.30729907,0,284.869147
1982,0.338097122,0.338097122,4.057165461,0,0.676194244,0,16.22866185,1.014291365,41.9240431,164.6532983,0,0,19.60963306,9.46671941,265.7443377,0,0.338097122,25.01918701,23.66679852,0.676194244,9.128622288,0,27.72396399,137.9436257,18.5953417,1.690485609,0,1.352388487,1.690485609,0.338097122,12.17149638,4.733359705,40.90975174,0,280.282514
1983,0.323068374,0,5.815230735,2.261478619,0,0,16.15341871,0.646136748,39.09127328,180.9182895,0,0.323068374,19.38410245,14.86114521,285.5924428,0,0.646136748,30.69149555,18.41489733,0.646136748,8.722846103,0.323068374,30.36842717,148.2883838,24.23012806,0.646136748,0,2.907615368,3.87682049,0,14.21500846,5.492162361,42.96809377,0,285.5924428
1984,0,0,7.226977364,0.942649221,0.314216407,0,19.48141724,0.628432814,63.15749783,222.7794327,0.314216407,0,18.53876802,15.39660395,283.7374156,0,1.256865628,44.93294622,22.30936491,1.256865628,7.855410178,0.628432814,36.44910323,198.5847693,45.87559544,2.513731257,0,2.827947664,4.084813293,0.628432814,19.79563365,4.084813293,55.30208765,0,323.3286829
1985,0.298179021,0,4.770864332,3.578148249,0.298179021,0,16.69802516,1.789074124,63.51213141,231.6850991,0,0,19.67981537,9.839907684,263.5902543,0,1.490895104,27.73064893,24.15250068,1.490895104,10.73444475,0.596358041,35.48330347,171.1547579,31.90515522,2.385432166,0,1.490895104,1.490895104,0,15.50530908,5.665401394,59.93398316,0,351.2548864
1986,0.571858282,0.571858282,4.574866257,3.717078834,0.285929141,0,16.58389018,2.573362269,57.18582821,223.3106592,0.285929141,0.571858282,15.44017362,9.149732513,215.3046432,0,1.143716564,44.604946,27.1632684,2.85929141,7.434157667,2.001503987,34.02556778,187.2835874,42.31751287,2.001503987,0,2.287433128,2.573362269,0,20.01503987,4.574866257,53.75467852,0.571858282,344.8305441
1987,1.358721497,0.271744299,9.239306182,1.630465797,1.086977198,0,25.54396415,2.717442995,80.70805695,322.2887392,0,0.543488599,13.85895927,13.85895927,177.9925162,0,0.543488599,38.04420193,21.19605536,2.173954396,7.337096086,0.543488599,37.22896903,192.9384526,38.04420193,3.532675893,0,3.804420193,2.445698695,0,13.31547067,2.717442995,79.89282405,0,352.4523564
1988,0.516737115,2.325317018,11.36821653,2.842054133,0.516737115,0,26.35359287,4.909002594,101.5388431,500.459896,0.516737115,1.808579903,17.0523248,17.56906192,240.7994957,0.775105673,1.550211345,42.88918056,23.51153874,4.133896921,6.975951055,2.066948461,51.67371152,263.5359287,42.37244344,5.684108267,0,4.392265479,2.842054133,0.775105673,19.89437893,4.650634036,101.7972117,0.258368558,387.5528364
1989,1.737848097,0.993056056,12.41320069,2.234376125,0.744792042,0,29.29515364,6.454864361,137.2899997,607.502042,0.248264014,1.241320069,17.875009,26.06772146,292.4550084,0.744792042,2.979168167,38.23265814,29.79168167,3.475696194,10.42708858,3.22743218,53.37676298,262.1667987,61.81773946,6.454864361,0,2.482640139,4.965280278,5.958336333,26.56424949,8.440976472,140.5174319,0.496528028,444.8891129
1990,2.190345929,1.946974159,13.62881911,9.734870794,3.163833008,1.460230619,27.98775353,5.840922476,138.7219088,710.8889397,0.48674354,1.703602389,22.87694637,25.55403583,274.2799846,0.48674354,6.084294246,44.29366211,28.96124061,3.407204778,14.60230619,5.110807167,72.52478741,272.5763822,72.28141564,11.19510141,0,3.650576548,7.544524865,11.92521672,20.44322867,7.057781326,137.0183064,1.216858849,496.7217823
1991,0.968033126,2.904099378,15.97254658,7.018240164,1.452049689,0.968033126,35.57521738,7.98627329,116.1639751,877.0380122,0.242008282,2.178074534,24.20082815,27.83095238,343.6517598,1.452049689,4.114140786,48.4016563,27.83095238,11.85840579,13.31045548,6.050207038,67.76231883,288.9578881,79.62072462,8.228281572,0,1.936066252,5.566190475,24.20082815,18.15062111,8.712298135,159.2414492,3.388115941,482.3225051
1992,1.674524973,4.784357066,21.29038894,8.372624866,2.631396386,1.196089267,41.38468862,10.28636769,140.4208799,986.2952092,0,2.392178533,25.5963103,32.7728459,359.5444335,1.913742826,5.262792773,57.65150265,37.55720297,6.937317746,14.59228905,7.176535599,79.18110944,312.8969521,80.37719871,6.458882039,0,8.372624866,5.980446333,37.07876726,20.33351753,9.568714132,181.5663507,3.349049946,490.875035
1993,0.935528082,8.887516781,15.67009538,10.05692688,2.806584247,2.572702226,36.71947723,10.52469092,146.6440269,1064.86484,0.233882021,2.572702226,28.06584247,27.83196045,369.0658284,2.338820206,8.41975274,61.04320736,41.16323562,13.56515719,14.50068527,9.823044863,91.68175206,345.2098623,105.4807913,9.589162843,0,5.847050514,9.589162843,36.95335925,25.96090428,14.03292123,171.201639,6.548696575,470.3367433
1994,1.825225529,11.40765956,16.65518296,13.23288509,1.597072338,3.87860425,28.74730209,14.37365104,172.4838125,1104.033292,0.684459574,6.160136162,30.80068081,45.40248504,407.4815994,3.422297868,8.897974456,73.00902118,38.7860425,17.11148934,19.84932763,12.77657871,69.8148765,338.1230293,102.668936,12.54842551,0,6.160136162,8.669821265,56.58199141,23.49977869,10.95135318,176.8187232,8.441668074,520.6455823
1995,1.780920112,8.459370534,16.25089603,23.59719149,1.558305098,3.561840225,36.95409233,14.91520594,179.8729313,994.4212677,0.445230028,3.339225211,39.18024247,42.29685267,423.6363717,3.339225211,20.70319631,79.91879004,36.28624729,14.2473609,15.58305098,16.47351104,89.49123565,345.2758868,119.0990325,11.79859574,0,6.678450421,9.572445604,50.97883822,17.80920112,16.47351104,172.9718659,10.46290566,519.8060578
1996,0.871965017,11.11755396,23.97903796,13.51545776,1.743930034,3.269868813,31.17274935,12.42550149,193.5762337,1089.956271,0.871965017,4.14183383,32.04471437,43.59825084,437.2904559,4.359825084,11.77152773,78.47685151,36.6225307,19.40122162,23.10707294,15.04139654,86.97851042,350.747928,116.1893385,11.55353647,0,8.719650168,13.73344901,66.26934127,18.52925661,8.719650168,189.2164086,10.24558895,498.3280071
1997,4.158714038,11.81950306,29.11099827,19.48029207,2.407676548,5.034232783,47.93465128,12.91390149,216.0342503,1186.984538,0.875518745,7.879668704,28.45435921,56.03319967,475.4066785,7.879668704,17.5103749,98.27697911,40.05498258,20.79357019,25.3900436,17.5103749,83.17428076,371.6577072,115.787354,12.47614211,0,11.162864,13.78942023,63.91286837,18.38589364,10.50622494,206.6224238,11.162864,532.0965172
1998,2.31712609,15.1666435,24.85644351,16.21988263,2.738421742,4.0023087,32.43976525,12.21757393,197.1663654,1076.831688,0.210647826,8.0046174,34.54624352,55.40037832,515.0339354,6.108786963,15.79858697,104.6919697,41.28697396,25.27773916,30.96523047,20.22219133,103.8493784,394.7540265,123.8609219,8.425913053,0,16.43053045,20.85413481,65.51147399,19.1689522,10.11109566,197.5876611,10.11109566,580.7560572
1999,2.429562922,13.16013249,18.42418549,22.27099345,1.619708614,3.239417229,47.9838677,15.79215899,249.0301995,1176.313381,0.404927154,10.12317884,35.83605309,65.59819888,562.2413528,24.90301995,14.98230468,110.7475765,50.00850347,23.08084776,35.63358952,20.24635768,95.9677354,402.7000543,120.4658282,11.74288745,0,13.56505965,14.98230468,55.27255647,24.09316564,11.13549672,209.3473384,11.74288745,603.9488496
2000,2.816472987,9.763773022,21.9684893,19.71531091,2.440943256,4.318591914,59.89699219,14.08236494,252.9192743,1214.838682,0.938824329,15.396719,36.8019137,66.09323277,604.4151031,22.5317839,15.20895413,119.7939844,48.25557051,22.5317839,44.31250833,18.77648658,111.7200952,392.6163344,132.3742304,14.08236494,0.375529732,14.45789467,24.03390282,59.52146246,21.02966497,9.576008157,219.3093633,9.763773022,601.7863949
2001,2.374056313,16.98363362,29.76701377,20.0881688,2.556676029,4.565492909,52.04661916,19.72292937,270.2771802,1268.65917,0.913098582,18.26197164,51.3161403,67.20405562,636.4297115,20.27078852,15.88791532,133.1297732,45.65492909,27.02771802,43.82873193,23.01008426,104.275858,416.1903336,165.6360827,10.22670412,0.182619716,20.63602795,27.75819689,63.91690072,16.07053504,18.44459135,215.3086456,11.1398027,655.7874014
2002,5.129048632,18.92442082,28.29819935,29.53624557,1.238046222,4.067866157,47.04575642,19.27814831,310.3958741,1290.928482,1.768637459,20.69305827,46.86889267,69.6843159,666.245731,29.18251808,20.16246704,139.1917681,49.69871261,34.6652942,54.47403375,21.22364951,123.8046222,420.2282604,205.1619453,15.74087339,1.945501205,19.98560329,41.91670779,69.15372466,18.04010209,12.20359847,240.7115582,11.84987098,648.2056289
2003,4.709396592,11.94168421,23.54698296,33.63854708,3.027469238,4.877589327,59.70842107,20.51951372,309.1382477,1427.11536,1.513734619,20.68770646,49.61685695,76.86408009,653.7651626,24.89252484,18.33300816,132.872261,57.01733731,24.72433211,55.16721722,24.05156116,130.1811772,426.7049698,204.8587517,12.78264789,5.045782063,18.33300816,47.09396592,58.19468646,28.42457229,14.80096072,239.1700698,12.10987695,618.9492663
2004,5.158232696,19.22614005,20.94555095,51.58232696,1.250480654,5.470852859,53.30173786,21.41448119,300.1153568,1384.907324,2.969891552,26.41640381,44.70468336,82.06279289,722.4651976,21.72710135,17.19410899,125.9859258,58.30366047,28.1358147,73.15311823,32.98142724,138.3344223,407.9693132,225.711758,13.28635694,9.065984738,18.91351988,48.76874549,57.83473022,17.81934931,14.06790735,240.8738359,18.44458964,649.9373197
2005,5.568318268,20.27438959,16.27662263,48.54431311,1.427773915,3.712212179,48.25875832,18.13272872,286.4114473,1275.430438,1.570551306,27.27048177,42.11933049,81.09755836,584.6734181,15.84829045,15.1344035,115.3641323,59.25261747,20.84549916,80.38367141,27.98436873,135.3529671,372.5062144,245.2915586,15.56273567,15.84829045,14.99162611,67.105374,52.39930268,18.98939307,12.70718784,265.9942803,15.84829045,578.2484355
2006,6.400247476,18.53404998,20.53412732,68.80266037,1.600061869,2.133415825,65.60253663,16.26729567,289.7445368,1293.916698,2.400092804,27.06771328,41.46827011,77.73633914,578.8223811,13.86720287,14.00054135,116.2711625,61.60238196,21.86751221,75.7362618,23.46757408,135.2052279,364.4140907,246.8095433,19.33408092,28.80111364,13.33384891,77.46966216,51.73533377,19.33408092,16.40063416,240.2759573,8.80034028,598.2898005
2007,4.194982801,21.73763815,17.28841397,64.95867306,2.415293128,3.432258655,58.72975921,13.22055186,270.2585889,1281.376565,4.576344873,31.27168997,39.66165557,86.56919052,551.95804,16.65281051,15.00024153,114.4086218,56.44158677,23.26308644,72.07743176,30.38184513,143.6463807,360.6414002,282.4621752,20.46643124,32.79713826,14.36463807,93.56082852,44.8736039,15.25448291,11.69510357,232.2495023,12.45782771,563.6531436
2008,5.136953571,16.48603704,14.6940765,75.62073513,1.791960548,3.703385133,50.6527515,15.17193264,256.4892865,1265.482539,3.583921096,27.35726437,36.07813904,82.54964925,544.0392224,17.44174934,9.915515033,116.9552918,57.70112965,20.78674236,73.11199037,27.1183363,127.1097349,333.0657339,311.0843512,16.24710897,48.62186287,15.0524686,106.6813846,39.30366802,13.26050806,14.57461246,246.3348434,7.526234302,510.4698282
2009,7.407002238,21.42332955,13.21865015,95.15149029,1.481400448,3.076754776,65.29557358,16.52331268,256.8520468,1230.815864,3.98838582,25.52566925,38.85827328,71.90489865,486.4691162,19.48611358,11.50934194,101.0770921,59.14206402,19.60006746,75.20956119,26.77916194,135.3772101,308.1312931,272.8055901,20.16983686,60.28160283,16.75122045,111.7887569,42.39084358,16.06749716,12.64888074,233.3775474,6.837232835,499.9156741
2010,4.564610469,21.23074637,15.28613738,109.656805,0.636922391,2.3353821,64.75377642,11.78306423,242.0305086,1171.937199,3.503073151,29.08612252,29.72304491,75.6876108,517.4994427,19.42613293,10.82768065,87.6829825,62.84300925,14.96767619,81.73837351,25.26458818,130.1444752,291.6043013,287.4643058,24.20305086,85.0291392,16.98459709,137.5752365,38.32149719,13.26921648,14.43690753,238.6335892,5.944608983,481.8317888
2011,4.508005139,20.0900229,14.89601698,118.384135,1.764002011,1.862002123,56.8400648,10.78001229,232.7502653,1154.735316,5.194005921,25.28402882,33.4180381,71.932082,515.5785878,20.97202391,8.52600972,88.78810122,69.48207921,15.48401765,82.51609407,26.36203005,126.6161443,298.0183397,298.7043405,22.14802525,93.29610636,19.89402268,149.6461706,37.73004301,11.95601363,14.2100162,221.8722529,4.900005586,465.6965309
2012,5.231282334,21.93467505,15.78562389,133.1682573,0.917768831,1.835537661,57.17699814,10.37078779,232.7461754,1206.498905,5.231282334,27.71661868,30.65347894,73.32972956,459.893961,20.5580218,7.158596878,90.12489916,71.31063813,14.59252441,79.29522696,28.54261063,123.3481308,306.2594588,307.7278889,32.4890166,113.2526737,15.41851635,162.9039674,35.42587686,12.29810233,11.19677973,232.287291,4.955951685,441.2632537
2013,6.175352169,26.61489808,17.6562886,149.1651968,1.217675076,3.044187689,58.97026437,13.39442583,243.2740847,1258.641144,7.653957618,29.31117861,29.31117861,84.1935338,382.2629969,20.00466196,6.610236125,84.80237134,80.71446215,20.87442987,80.01864782,35.13862361,133.1614672,307.4629566,318.4220323,32.44234309,136.988446,19.22187084,195.6108032,41.92281332,10.87209889,14.26419374,234.1415217,5.305584258,455.6714086
2014,6.885898178,33.35097672,18.2517783,153.8956762,1.078514173,2.571841488,52.59830657,9.955515439,259.2582145,1272.646724,10.7021791,25.55248963,37.16725764,85.119657,382.8725312,22.06805922,7.134786064,103.1225474,70.76712224,16.75845099,80.22486191,32.77023832,147.4245911,321.8949992,328.9468226,41.56427696,149.9964326,17.58807727,220.4317043,40.73465067,11.8636559,11.69773064,240.5086605,4.562944576,460.8574022
2015,8.668322926,35.62760249,19.8814746,162.3123586,1.51099207,1.98814746,47.47696135,13.04224734,258.300118,1297.862662,12.40604015,27.59548675,36.82049096,89.14853211,355.4807659,20.75625948,7.873063942,97.02159605,69.26705751,16.22328327,80.95736458,32.92372194,158.9722709,315.1611354,335.6788172,47.87459084,156.9841234,17.65474945,230.0684241,39.6834233,10.73599628,12.40604015,243.8264045,4.771553904,443.5159354
2016,9.108375657,38.61328484,17.90535386,161.1481847,1.167740469,2.569029032,47.17671494,9.964718668,252.3097906,1330.679189,15.64772228,27.87007252,37.83479119,89.60461865,331.6382932,24.05545366,7.006442813,108.2106168,66.405508,14.79137927,87.7362339,33.70877487,167.4539832,333.5845273,346.0404256,51.06918317,153.1297002,15.72557165,230.5898179,39.70317594,14.16858436,12.45589833,244.8362516,5.060208699,453.0054526
2017,10.28346289,39.75249086,18.34140022,161.0820045,1.841814248,2.685979112,43.81983066,11.66482357,246.0356867,1329.406176,24.40403879,28.31789407,38.14090339,91.01632078,320.398937,23.86684297,7.520741514,108.2065871,74.20976576,20.41344125,82.34444536,36.29908915,180.6512809,330.5289153,341.042605,54.87071615,158.0123141,19.10882283,238.8986565,39.21529504,17.4204931,12.81595748,248.7216658,6.59983439,446.563213
2018,9.140156497,43.02561473,18.35462321,157.4633465,1.634824739,6.910850035,44.66043947,9.140156497,241.3595797,1062.56177,47.33560723,33.81114802,37.52665879,83.59899235,312.4744559,21.40134204,5.498955941,109.3103269,60.93437665,16.05100653,75.20193801,39.90458568,160.5843755,305.7122263,333.8014877,56.02990243,158.9495508,18.8004845,235.934934,36.41200556,17.16565976,11.22084253,258.3023088,12.40980598,426.9864978
2019,10.22145057,44.78982852,16.60985717,143.3132548,0.993752138,14.62235289,38.25945733,9.937521383,219.2643111,874.8567932,77.72561368,35.13623632,37.40766978,77.15775531,290.2466067,23.28219296,6.60135349,108.9578237,51.5331466,15.61610503,76.94480843,49.9005538,149.2757676,303.2363668,329.7837453,63.17424308,147.6431748,16.75182176,231.8281774,32.2969445,18.38441456,10.86029123,243.3982916,22.78531689,416.382146
2020,9.536959101,46.14657629,15.01301949,150.4378387,1.415161673,19.32003327,61.28265332,6.952750828,314.4120065,1014.055632,104.3527912,37.28643364,32.67177602,74.51133852,271.9571563,22.39647169,7.937211122,109.459679,53.89920111,13.10562767,72.29630286,53.65308604,147.976688,299.7681596,330.2864287,65.95883972,161.513017,16.67429623,238.30092,51.99180929,17.35111269,9.783074174,243.346279,27.19571563,422.9487539
2021,10.94615858,52.84942191,17.73049645,117.3861485,1.425281065,20.01094616,62.48432191,4.959978108,365.3850539,837.8942327,126.5079474,30.38699231,29.81687989,79.58769469,215.6165196,22.97553077,5.473079291,96.69106748,51.59517457,10.88914734,71.15003079,56.44113019,163.2801989,275.5353356,330.9502634,66.7601651,166.3017947,13.34063077,237.3948143,51.08207338,18.87072131,8.095596452,245.7184557,26.73827279,404.4947664
